s,s dot,E_k
0.0373165366638126,5.59983259113412,22.7701441175578
0.0379973651628471,5.64982795564480,23.3002369283839
0.0386845432932453,5.69982323328396,23.8402512190779
0.0393780764905986,5.74981842316963,24.3903784235541
0.0400779701574520,5.79981352441820,24.9508145669611
0.0407842296610321,5.84980853614451,25.5217603829603
0.0414968603309497,5.89980345746186,26.1034214343564
0.0422158674568756,5.94979828748210,26.6960082371768
0.0429412562861895,5.99979302531566,27.2997363883052
0.0436730320216019,6.04978767007161,27.9148266967679
0.0444111998187494,6.09978222085770,28.5415053187935
0.0451557647837610,6.14977667678046,29.1800038967485
0.0459067319707984,6.19977103694522,29.8305597020676
0.0466641063795672,6.24976530045620,30.4934157823005
0.0474278929527997,6.29975946641655,31.1688211123939
0.0481980965737098,6.34975353392843,31.8570307503365
